
"['2023-02-16 08:12:39, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 01:52:53, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 01:54:17, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 01:59:43, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 02:12:31, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 02:13:22, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 07:43:43, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 07:44:25, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 07:46:34, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 02:04:22, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 02:07:13, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 02:07:39, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 08:40:13, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 08:43:17, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 08:44:13, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 08:51:14, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 08:52:54, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 2024-01-27 20:19:52, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 09:01:04, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 2024-01-27 20:19:52, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 09:01:37, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 2024-01-27 20:19:52, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 08:54:54, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 2024-01-27 20:19:52, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 08:50:25, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 08:55:26, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 2024-01-27 20:19:52, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 08:55:55, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 2024-01-27 20:19:52, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 09:03:40, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 2024-01-27 20:19:52, 2022-08-14 11:12:40, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 09:04:02, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 2024-01-27 20:19:52, 2022-08-14 11:12:40, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 09:04:24, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 2024-01-27 20:19:52, 2022-08-14 11:12:40, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 09:06:33, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 2024-01-27 20:19:52, 2022-09-02 00:41:41, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 09:34:06, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 2024-01-27 20:19:52, 2022-09-02 00:41:41, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
